Id,Name,Link,Date
1,FNM @ MTG Arena Campania,https://www.mtgtop8.com/event?e=27938&f=ST,30/10/20
2,Torneios @ Ludo Quest,https://www.mtgtop8.com/event?e=27939&f=ST,30/10/20
3,All Hallow's Eve FNM @ Gamer's Gauntlet,https://www.mtgtop8.com/event?e=27940&f=ST,30/10/20
4,Japan Championship 2020 Autumn Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27925&f=ST,29/10/20
5,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27918&f=ST,28/10/20
6,Japan Championship 2020 Autumn Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27921&f=ST,28/10/20
7,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27886&f=ST,27/10/20
8,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27898&f=ST,27/10/20
9,Japan Championship 2020 Autumn - Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27901&f=ST,27/10/20
10,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27902&f=ST,27/10/20
11,mock Tournament Try 2 @ HavenGamesLLC,https://www.mtgtop8.com/event?e=27919&f=ST,27/10/20
12,Tuesday Night Standard @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27920&f=ST,27/10/20
13,Cobram Cup - 5th Tappa @ Mind's Desire,https://www.mtgtop8.com/event?e=27941&f=ST,27/10/20
14,Japan Championship 2020 Autumn - Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27876&f=ST,26/10/20
15,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27885&f=ST,26/10/20
16,Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27888&f=ST,26/10/20
17,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27905&f=ST,26/10/20
18,"The 9th Hamazushi Tournament @ Hamakikaku (Toyama, Japan)",https://www.mtgtop8.com/event?e=27860&f=ST,25/10/20
19,6th Anniversary PWCS @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27863&f=ST,25/10/20
20,Zendikar Rising Championship @ Total Jank Games,https://www.mtgtop8.com/event?e=27877&f=ST,25/10/20
21,MAJH Series @ Malchijah Harding,https://www.mtgtop8.com/event?e=27878&f=ST,25/10/20
22,MPL - October Zendikar Rising Weekend @ Magic Arena,https://www.mtgtop8.com/event?e=27894&f=ST,25/10/20
